(25.0, 14, 486.0, 30)
(12.0, 13, 498.0, 33)
(25.0, 17, 486.0, 32)
(11.0, 10, 501.0, 36)
(22.0, 12, 490.0, 33)
(20.0, 13, 490.0, 33)
(20.0, 14, 492.0, 30)
(13.0, 8, 499.0, 37)
(16.0, 10, 496.0, 35)
(12.0, 13, 500.0, 32)
(15.0, 5, 496.0, 38)
(21.0, 12, 491.0, 34)
(31.0, 14, 478.0, 31)
(17.0, 13, 494.0, 33)
(22.0, 5, 490.0, 38)
(33.0, 13, 478.0, 31)
(21.0, 12, 490.0, 34)
(27.0, 14, 485.0, 30)
(27.0, 14, 484.0, 30)
(20.0, 11, 491.0, 34)
(14.0, 12, 497.0, 33)
(11.0, 10, 500.0, 35)
(18.0, 13, 494.0, 32)
(18.0, 8, 494.0, 37)
(15.0, 13, 497.0, 32)
(18.0, 8, 494.0, 37)
(14.0, 12, 498.0, 33)
(11.0, 4, 501.0, 40)
(14.0, 6, 497.0, 40)
(17.0, 10, 494.0, 35)
(21.0, 8, 491.0, 37)
(18.0, 13, 493.0, 33)
(32.0, 19, 480.0, 33)
(16.0, 13, 493.0, 31)
(32.0, 14, 480.0, 30)
(19.0, 5, 492.0, 37)
(31.0, 14, 481.0, 30)
(19.0, 8, 493.0, 36)
(12.0, 10, 499.0, 36)
(13.0, 10, 498.0, 35)
(12.0, 12, 500.0, 33)
(16.0, 9, 496.0, 35)
(12.0, 14, 500.0, 30)
(29.0, 14, 483.0, 30)
(11.0, 5, 498.0, 37)
(31.0, 14, 479.0, 30)
(16.0, 12, 494.0, 33)
(18.0, 8, 493.0, 37)
(13.0, 12, 499.0, 33)
(16.0, 10, 494.0, 36)
(11.0, 13, 500.0, 32)
(20.0, 13, 492.0, 32)
(16.0, 5, 496.0, 38)
(15.0, 17, 496.0, 35)
(18.0, 13, 493.0, 33)
(22.0, 12, 490.0, 34)
(13.0, 15, 498.0, 36)
(12.0, 8, 500.0, 38)
(18.0, 14, 494.0, 31)
(39.0, 5, 471.0, 40)
(19.0, 14, 493.0, 29)
(16.0, 12, 496.0, 34)
(17.0, 8, 495.0, 36)
(16.0, 15, 496.0, 31)
(17.0, 5, 494.0, 40)
(14.0, 5, 498.0, 38)
(20.0, 10, 491.0, 36)
(16.0, 14, 496.0, 31)
(29.0, 13, 483.0, 31)
(17.0, 13, 494.0, 33)
(14.0, 6, 498.0, 38)
(9.0, 12, 500.0, 34)
(16.0, 14, 496.0, 31)
(31.0, 14, 480.0, 30)
(15.0, 8, 497.0, 37)
(31.0, 14, 480.0, 31)
(18.0, 10, 494.0, 36)
(18.0, 14, 494.0, 30)
(32.0, 14, 480.0, 31)
(18.0, 14, 494.0, 31)
(19.0, 13, 493.0, 33)
(15.0, 5, 497.0, 37)
(24.0, 5, 487.0, 38)
(20.0, 12, 492.0, 34)
(11.0, 13, 501.0, 33)
(26.0, 14, 486.0, 31)
(13.0, 15, 498.0, 31)
(21.0, 8, 491.0, 36)
(20.0, 9, 491.0, 34)
(18.0, 13, 493.0, 32)
(30.0, 14, 481.0, 30)
(16.0, 13, 495.0, 32)
(16.0, 8, 496.0, 37)
(14.0, 12, 498.0, 34)
(20.0, 13, 491.0, 32)
(24.0, 14, 488.0, 30)
(18.0, 13, 494.0, 33)
(12.0, 14, 500.0, 33)
(15.0, 14, 497.0, 41)
(21.0, 10, 490.0, 36)
(32.0, 14, 479.0, 31)
(13.0, 13, 498.0, 33)
(16.0, 13, 494.0, 33)
(22.0, 14, 490.0, 29)
(20.0, 13, 492.0, 33)
(25.0, 13, 486.0, 31)
(15.0, 13, 494.0, 33)
(26.0, 14, 486.0, 31)
(32.0, 5, 479.0, 40)
(20.0, 12, 492.0, 34)
(22.0, 13, 489.0, 33)
(17.0, 10, 495.0, 36)
(17.0, 6, 494.0, 38)
(18.0, 13, 494.0, 33)
(28.0, 14, 484.0, 31)
(25.0, 14, 485.0, 30)
(18.0, 12, 494.0, 34)
(22.0, 14, 490.0, 29)
(22.0, 14, 489.0, 31)
(27.0, 5, 484.0, 40)
(11.0, 13, 498.0, 33)
(21.0, 9, 490.0, 34)
(19.0, 5, 490.0, 37)
(32.0, 14, 479.0, 31)
(20.0, 12, 492.0, 34)
(18.0, 14, 494.0, 31)
(18.0, 9, 494.0, 34)
(11.0, 12, 500.0, 34)
(16.0, 14, 495.0, 41)
(25.0, 14, 487.0, 30)
(23.0, 5, 488.0, 37)
(19.0, 5, 491.0, 40)
(19.0, 9, 491.0, 34)
(21.0, 16, 491.0, 35)
(20.0, 13, 492.0, 31)
(28.0, 14, 483.0, 31)
