(29.0, 14, 483.0, 31)
(18.0, 16, 494.0, 32)
(14.0, 12, 497.0, 34)
(11.0, 12, 500.0, 34)
(27.0, 14, 484.0, 31)
(18.0, 13, 493.0, 32)
(12.0, 16, 499.0, 29)
(19.0, 8, 493.0, 37)
(13.0, 11, 499.0, 34)
(22.0, 16, 490.0, 29)
(13.0, 14, 499.0, 33)
(21.0, 11, 491.0, 34)
(22.0, 12, 489.0, 33)
(16.0, 14, 495.0, 32)
(17.0, 10, 495.0, 38)
(24.0, 15, 487.0, 30)
(13.0, 14, 499.0, 32)
(21.0, 16, 490.0, 30)
(20.0, 15, 491.0, 30)
(26.0, 13, 486.0, 32)
(21.0, 14, 491.0, 31)
(14.0, 14, 497.0, 32)
(17.0, 16, 495.0, 29)
(23.0, 12, 488.0, 36)
(23.0, 15, 488.0, 30)
(25.0, 9, 486.0, 39)
(11.0, 14, 500.0, 33)
(15.0, 14, 497.0, 32)
(13.0, 10, 499.0, 37)
(13.0, 16, 499.0, 29)
(12.0, 13, 500.0, 32)
(16.0, 15, 496.0, 31)
(20.0, 16, 491.0, 32)
(16.0, 16, 495.0, 29)
(29.0, 16, 483.0, 30)
(18.0, 15, 493.0, 30)
(18.0, 16, 493.0, 32)
(13.0, 13, 499.0, 32)
(13.0, 8, 498.0, 40)
(24.0, 15, 487.0, 30)
(24.0, 16, 488.0, 32)
(19.0, 15, 492.0, 30)
(20.0, 17, 491.0, 28)
(26.0, 16, 486.0, 30)
(27.0, 12, 485.0, 36)
(30.0, 16, 482.0, 29)
(13.0, 16, 498.0, 32)
(21.0, 11, 491.0, 34)
(12.0, 14, 500.0, 31)
(13.0, 12, 498.0, 35)
(21.0, 12, 490.0, 33)
(11.0, 14, 501.0, 33)
(16.0, 12, 496.0, 33)
(18.0, 10, 494.0, 36)
(23.0, 13, 488.0, 32)
(26.0, 11, 485.0, 34)
(13.0, 11, 499.0, 34)
(16.0, 8, 495.0, 39)
(32.0, 16, 479.0, 29)
(20.0, 8, 491.0, 40)
(23.0, 15, 489.0, 30)
(19.0, 17, 493.0, 29)
(17.0, 13, 494.0, 32)
(18.0, 15, 493.0, 30)
(16.0, 8, 495.0, 39)
(26.0, 14, 485.0, 32)
(24.0, 13, 488.0, 32)
(20.0, 15, 491.0, 30)
(11.0, 14, 500.0, 32)
(20.0, 11, 491.0, 34)
(14.0, 15, 497.0, 33)
(23.0, 12, 488.0, 33)
(18.0, 15, 493.0, 30)
(24.0, 16, 488.0, 29)
(19.0, 7, 492.0, 41)
(15.0, 14, 497.0, 32)
(15.0, 12, 497.0, 35)
(12.0, 16, 500.0, 32)
(16.0, 14, 496.0, 31)
(23.0, 16, 488.0, 32)
(15.0, 13, 497.0, 32)
(13.0, 12, 499.0, 35)
(12.0, 12, 500.0, 35)
(12.0, 13, 499.0, 32)
(13.0, 11, 498.0, 34)
(30.0, 16, 482.0, 30)
(28.0, 16, 483.0, 30)
(19.0, 12, 492.0, 34)
(23.0, 11, 488.0, 34)
(18.0, 14, 494.0, 32)
(16.0, 12, 495.0, 33)
(16.0, 15, 496.0, 30)
(11.0, 14, 501.0, 33)
(15.0, 12, 496.0, 36)
(16.0, 16, 496.0, 29)
(15.0, 16, 497.0, 30)
(21.0, 14, 490.0, 31)
(24.0, 15, 488.0, 30)
(16.0, 12, 495.0, 33)
(14.0, 11, 497.0, 37)
(12.0, 12, 500.0, 34)
(29.0, 16, 483.0, 30)
(27.0, 15, 484.0, 30)
(20.0, 16, 492.0, 30)
(24.0, 16, 488.0, 32)
(13.0, 13, 499.0, 32)
(26.0, 16, 486.0, 30)
(19.0, 16, 493.0, 29)
(11.0, 8, 501.0, 40)
(22.0, 12, 490.0, 34)
(13.0, 15, 499.0, 30)
(17.0, 11, 495.0, 34)
(19.0, 12, 492.0, 34)
(11.0, 14, 500.0, 32)
(12.0, 14, 499.0, 32)
